Principal_Component,Explained_Variance_Percent,Cumulative_Variance_Percent
PC1,30.725012610115122,30.725012610115122
PC2,11.882440874844706,42.60745348495983
PC3,7.748480114775151,50.35593359973498
PC4,7.137004532716803,57.49293813245179
PC5,6.089804667456727,63.58274279990852
PC6,4.821841060368865,68.40458386027738
PC7,4.4901647880117554,72.89474864828914
PC8,3.9495986513673897,76.84434729965653
PC9,3.8248134129543447,80.66916071261087
PC10,3.783832381394483,84.45299309400536
PC11,3.433882273668052,87.88687536767341
PC12,3.123873084175111,91.01074845184853
PC13,3.007249786190962,94.01799823803948
PC14,1.8833701672557532,95.90136840529523
PC15,1.3915821333770695,97.2929505386723
PC16,1.0191647424091568,98.31211528108146
PC17,0.7413194804013017,99.05343476148276
PC18,0.6913373090428302,99.74477207052558
PC19,0.18874728998870036,99.93351936051428
PC20,0.062120278458577295,99.99563963897286
PC21,0.004360361027125967,99.99999999999999
