,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
height_in_cm,0.0018437467672162758,0.04607133669584432,-0.21418183225560888,0.10770107669010279,0.42483791941812427,0.6160166549821738,0.2501212366591821,-0.3482551509311154,0.08170897665461753
international_caps,0.18897782425216728,-0.021926866944456946,0.10468304967818742,-0.0046419264523025194,0.053872769225463524,-0.07179904661494775,-0.30475480236011593,-0.357690203604602,-0.46659936264108215
market_value_in_eur,0.23599154048418777,0.1021068027971502,0.34426942828036633,-0.1146907972587326,0.3748092375930299,0.046806685287475565,-0.11552663726827071,0.2295856601768683,0.0925029516016954
highest_market_value_in_eur,0.3325883316976444,0.032985204824996846,0.27103847615536086,-0.0732516910233067,0.25842971959312055,0.007708876721174956,-0.09786497861874953,0.07865498965337922,0.05874281394130435
matches_played,0.34935141356592775,-0.13469242994330385,-0.18048612692505286,0.12286731303991041,-0.04625461071217806,-0.08905060393489549,-0.013415180512443977,-0.05303095092046189,0.010091116295499034
total_minutes,0.34066057546608086,-0.13539960171223694,-0.21051811408136056,0.16458404403357568,-0.0007425872477294495,-0.08744986814575613,-0.015149015441476621,-0.01803046793974469,-0.005939634207996911
avg_minutes,0.09831044137525494,-0.11980719089746811,-0.2395265977427328,0.311330523870801,0.1664159595833164,0.3364841428310119,0.11506716154247748,0.5339387667604624,-0.3950720500660853
total_goals,0.3012353447208858,-0.11345004383143921,0.06184844771780129,-0.17580878769259387,-0.17772455714910645,0.14773952258975817,0.06643753804167164,-0.25547285558896987,0.023977973490823343
avg_goals,0.1598953335796991,-0.07430157142476597,0.05632502023123417,-0.33316891517524905,-0.30601607781851403,0.38736839920711374,0.2589034252619977,-0.19033005042938975,0.11991448458169136
total_assists,0.327337493737141,-0.11966193274722682,0.012447509516872981,-0.10801841777183563,-0.1956479921040526,-0.009254716408985054,0.01989932449072739,-0.044686880198459844,-0.057178471523309335
avg_assists,0.15688484260947752,-0.07125892319769568,0.02875233888955715,-0.27264354726669443,-0.3743935309456506,0.12516405265173944,0.19592672849759354,0.4535392437153434,-0.18792107132825964
yellow_cards,0.3011507178124881,-0.14620224389789122,-0.25458633962382426,0.193896985510499,-0.029900081428340955,-0.15965266961384333,-0.019154601095689068,-0.013183996469685587,0.0760067159938076
red_cards,0.19125904612413597,-0.11991475103988945,-0.29984445790009284,0.2040153828269564,0.006605667127594955,-0.20148878794174668,0.02925427910440869,-0.07535689631457182,0.313506899135318
value_growth,0.3329864009284008,0.030874362320930725,0.26896723431848063,-0.0720307890049984,0.2581485794955286,0.008027514290887229,-0.09833588196901741,0.07657059584313582,0.05755647723227438
squad_size,0.05646345486903448,0.3175505584732832,-0.015067770839544355,0.21092978674144872,-0.2761193895700468,0.2894007327013762,-0.4402564313589604,-0.1234800377555327,-0.28230490101633404
average_age,0.023945453593162278,0.07882682125539107,0.1591022191712064,0.3574819926439253,-0.3082204993347579,0.2840464489824013,-0.3279027708264884,0.18348480812671816,0.5393854916877948
foreigners_number,0.11380950551549239,0.5208121360325354,-0.29095365176968285,-0.12865587107578175,-0.06562081363155071,-0.0002945949111795402,-0.11995492857563148,0.012006417482130218,-0.06032808263045776
foreigners_percentage,0.09510631584855656,0.41367700572108723,-0.33857431842778596,-0.2833432035325127,0.08757033510408956,-0.17595087924471986,0.10683264980092937,0.08910020130748977,0.0810148633209849
national_team_players,0.15901875116342917,0.47467670857074673,-0.0057146748169719375,0.05024254595878051,-0.019296973547630103,-0.02533317608461185,0.15606482052891135,0.03056437314376388,0.05954581515000026
stadium_seats,0.10851471151229468,0.2677735975589134,0.2675708752767445,0.3057823020224796,-0.0777739885126152,-0.08428681890113013,0.4472173050746772,-0.0275542129928085,0.04500586263681099
total_clubs,0.03421416452091428,0.11878968528152473,0.29226796630731994,0.3915112872255162,-0.1364250925225864,-0.16551414131544875,0.3679147402085974,-0.15511054930377374,-0.24507298428345475
